,Datetime,State,Confirmed,Cured,Deaths
265,2020-03-21 18:00:00,Jammu and Kashmir,4,0,0
266,2020-03-21 18:00:00,Ladakh,13,0,0
267,2020-03-21 18:00:00,Uttar Pradesh,24,9,0
268,2020-03-21 18:00:00,Uttarakhand,3,0,0
269,2020-03-21 18:00:00,West Bengal,3,0,0
270,2020-03-22 18:00:00,Andhra Pradesh,5,0,0
271,2020-03-22 18:00:00,Bihar,2,0,1
272,2020-03-22 18:00:00,Chhattisgarh,1,0,0
273,2020-03-22 18:00:00,Delhi,29,5,1
274,2020-03-22 18:00:00,Gujarat,18,0,1
275,2020-03-22 18:00:00,Haryana,21,0,0
276,2020-03-22 18:00:00,Himachal Pradesh,2,0,0
277,2020-03-22 18:00:00,Karnataka,26,2,1
278,2020-03-22 18:00:00,Kerala,52,3,0
279,2020-03-22 18:00:00,Madhya Pradesh,4,0,0
280,2020-03-22 18:00:00,Maharashtra,67,0,2
281,2020-03-22 18:00:00,Odisha,2,0,0
282,2020-03-22 18:00:00,Puducherry,1,0,0
283,2020-03-22 18:00:00,Punjab,21,0,1
284,2020-03-22 18:00:00,Rajasthan,24,3,0
285,2020-03-22 18:00:00,Tamil Nadu,7,1,0
286,2020-03-22 18:00:00,Telangana,22,1,0
287,2020-03-22 18:00:00,Chandigarh,5,0,0
288,2020-03-22 18:00:00,Jammu and Kashmir,4,0,0
289,2020-03-22 18:00:00,Ladakh,13,0,0
290,2020-03-22 18:00:00,Uttar Pradesh,27,9,0
291,2020-03-22 18:00:00,Uttarakhand,3,0,0
292,2020-03-22 18:00:00,West Bengal,4,0,0
293,2020-03-23 18:00:00,Andhra Pradesh,7,0,0
294,2020-03-23 18:00:00,Bihar,2,0,1
295,2020-03-23 18:00:00,Chhattisgarh,1,0,0
296,2020-03-23 18:00:00,Delhi,29,5,1
297,2020-03-23 18:00:00,Gujarat,29,0,1
298,2020-03-23 18:00:00,Haryana,26,0,0
299,2020-03-23 18:00:00,Himachal Pradesh,2,0,0
300,2020-03-23 18:00:00,Karnataka,33,2,1
301,2020-03-23 18:00:00,Kerala,67,3,0
302,2020-03-23 18:00:00,Madhya Pradesh,6,0,0
303,2020-03-23 18:00:00,Maharashtra,74,0,2
304,2020-03-23 18:00:00,Odisha,2,0,0
305,2020-03-23 18:00:00,Puducherry,1,0,0
306,2020-03-23 18:00:00,Punjab,21,0,1
307,2020-03-23 18:00:00,Rajasthan,28,3,0
308,2020-03-23 18:00:00,Tamil Nadu,9,1,0
309,2020-03-23 18:00:00,Telangana,32,1,0
310,2020-03-23 18:00:00,Chandigarh,6,0,0
311,2020-03-23 18:00:00,Jammu and Kashmir,4,0,0
312,2020-03-23 18:00:00,Ladakh,13,0,0
313,2020-03-23 18:00:00,Uttar Pradesh,31,9,0
314,2020-03-23 18:00:00,Uttarakhand,3,0,0
315,2020-03-23 18:00:00,West Bengal,7,0,0
316,2020-03-24 18:00:00,Andhra Pradesh,8,0,0
317,2020-03-24 18:00:00,Bihar,3,0,1
318,2020-03-24 18:00:00,Chhattisgarh,1,0,0
319,2020-03-24 18:00:00,Delhi,30,6,1
320,2020-03-24 18:00:00,Gujarat,33,0,1
321,2020-03-24 18:00:00,Haryana,28,11,0
322,2020-03-24 18:00:00,Himachal Pradesh,3,0,1
323,2020-03-24 18:00:00,Karnataka,37,3,1
324,2020-03-24 18:00:00,Kerala,95,4,0
325,2020-03-24 18:00:00,Madhya Pradesh,7,0,0
326,2020-03-24 18:00:00,Maharashtra,89,0,2
327,2020-03-24 18:00:00,Manipur,1,0,0
328,2020-03-24 18:00:00,Odisha,2,0,0
329,2020-03-24 18:00:00,Puducherry,1,0,0
330,2020-03-24 18:00:00,Punjab,29,0,1
331,2020-03-24 18:00:00,Rajasthan,32,3,0
332,2020-03-24 18:00:00,Tamil Nadu,15,1,0
333,2020-03-24 18:00:00,Telangana,35,1,0
334,2020-03-24 18:00:00,Chandigarh,7,0,0
335,2020-03-24 18:00:00,Jammu and Kashmir,4,0,0
336,2020-03-24 18:00:00,Ladakh,13,0,0
337,2020-03-24 18:00:00,Uttar Pradesh,33,11,0
338,2020-03-24 18:00:00,Uttarakhand,4,0,0
339,2020-03-24 18:00:00,West Bengal,9,0,1
340,2020-03-25 18:00:00,Andhra Pradesh,9,1,0
341,2020-03-25 18:00:00,Bihar,4,0,1
342,2020-03-25 18:00:00,Chhattisgarh,1,0,0
343,2020-03-25 18:00:00,Delhi,31,6,1
344,2020-03-25 18:00:00,Gujarat,38,0,1
345,2020-03-25 18:00:00,Haryana,28,11,0
346,2020-03-25 18:00:00,Himachal Pradesh,3,0,1
347,2020-03-25 18:00:00,Karnataka,41,3,1
348,2020-03-25 18:00:00,Kerala,109,4,0
349,2020-03-25 18:00:00,Madhya Pradesh,14,0,0
350,2020-03-25 18:00:00,Maharashtra,128,1,3
351,2020-03-25 18:00:00,Manipur,1,0,0
352,2020-03-25 18:00:00,Mizoram,1,0,0
353,2020-03-25 18:00:00,Odisha,2,0,0
354,2020-03-25 18:00:00,Puducherry,1,0,0
